               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063954,             0.01456,            0.013367,             0.62398,             0.52185,             0.57395,             0.22696,            0.042192,            0.011479,           0.0027491,            0.070033,           0.0033297,           0.0033297
                   1,            0.047842,            0.010274,           0.0021539,             0.75438,             0.75037,             0.78282,             0.37528,            0.037326,           0.0083594,           0.0014968,            0.040013,            0.006643,            0.006643
                   2,            0.042133,           0.0083966,           0.0014629,             0.96076,             0.91898,             0.96843,             0.58272,            0.031684,           0.0064371,           0.0011437,           0.0099729,           0.0099364,           0.0099364
                   3,            0.037447,           0.0074216,           0.0010506,             0.96529,             0.90713,             0.96328,             0.62786,             0.02737,           0.0055954,          0.00080457,             0.00991,             0.00991,             0.00991
                   4,            0.034165,           0.0068968,          0.00079456,             0.97977,             0.96492,                0.99,             0.67947,            0.025333,            0.004574,          0.00059295,             0.00991,             0.00991,             0.00991
                   5,            0.032196,           0.0065806,          0.00065044,             0.97301,             0.96615,             0.98888,             0.67798,             0.02493,           0.0045643,          0.00050868,             0.00988,             0.00988,             0.00988
                   6,            0.030552,           0.0063876,          0.00056259,              0.9835,             0.96862,             0.99262,             0.68635,            0.024359,           0.0043582,          0.00043332,             0.00985,             0.00985,             0.00985
                   7,            0.029526,           0.0062278,            0.000515,             0.97982,             0.95815,             0.98961,              0.6856,            0.024507,           0.0044187,          0.00041793,             0.00982,             0.00982,             0.00982
                   8,            0.028458,           0.0060467,          0.00049007,              0.9699,             0.94277,             0.97935,             0.67086,            0.025621,           0.0045418,          0.00041453,             0.00979,             0.00979,             0.00979
                   9,            0.027401,           0.0059541,          0.00044712,             0.98312,             0.96772,             0.99217,             0.69271,            0.024052,           0.0042354,          0.00037951,             0.00976,             0.00976,             0.00976
                  10,            0.026451,           0.0058017,          0.00042602,             0.98563,             0.96185,             0.98937,             0.69822,            0.024415,           0.0042719,           0.0003465,             0.00973,             0.00973,             0.00973
                  11,            0.025556,           0.0057021,          0.00040633,              0.9851,             0.97538,             0.99258,              0.7117,            0.024041,           0.0041314,           0.0003552,              0.0097,              0.0097,              0.0097
                  12,            0.024754,            0.005585,          0.00039281,             0.98204,             0.97557,             0.99219,             0.71383,            0.023449,           0.0041288,          0.00034598,             0.00967,             0.00967,             0.00967
                  13,            0.024093,           0.0054718,          0.00039194,             0.98189,             0.96773,             0.99203,             0.70796,             0.02373,           0.0040452,          0.00033961,             0.00964,             0.00964,             0.00964
                  14,            0.023367,           0.0053604,          0.00037537,             0.98201,             0.97408,             0.99165,             0.70485,             0.02447,           0.0041361,          0.00031954,             0.00961,             0.00961,             0.00961
                  15,            0.022777,           0.0052478,           0.0003638,             0.98179,             0.96923,             0.99091,              0.7075,            0.023586,           0.0040534,          0.00031503,             0.00958,             0.00958,             0.00958
                  16,            0.021905,           0.0051147,          0.00036243,             0.98389,              0.9771,             0.99265,              0.7219,            0.023575,           0.0039863,          0.00031363,             0.00955,             0.00955,             0.00955
                  17,            0.021607,           0.0050385,          0.00035055,             0.97457,             0.97477,              0.9917,             0.70572,            0.023941,           0.0040517,          0.00031208,             0.00952,             0.00952,             0.00952
                  18,            0.020933,            0.004932,          0.00035074,             0.98296,             0.97231,             0.99233,             0.71404,            0.023467,            0.004007,          0.00031608,             0.00949,             0.00949,             0.00949
                  19,            0.020394,           0.0048238,          0.00033802,              0.9875,             0.96985,             0.99228,             0.72139,            0.023816,           0.0040478,          0.00030929,             0.00946,             0.00946,             0.00946
                  20,            0.020093,           0.0047438,          0.00034146,             0.98488,             0.97231,             0.99262,             0.72924,              0.0231,           0.0039886,          0.00030803,             0.00943,             0.00943,             0.00943
                  21,            0.019598,            0.004655,          0.00033269,             0.97977,             0.98337,             0.99336,             0.71799,            0.023287,           0.0039934,          0.00031509,              0.0094,              0.0094,              0.0094
                  22,            0.018987,           0.0045421,          0.00033144,             0.98907,             0.96369,             0.99247,             0.72296,            0.023603,           0.0040506,          0.00030653,             0.00937,             0.00937,             0.00937
                  23,            0.018774,           0.0044782,          0.00033406,             0.98019,             0.97428,             0.99171,             0.72648,            0.023298,           0.0040608,          0.00030362,             0.00934,             0.00934,             0.00934
                  24,            0.018416,           0.0044002,          0.00032934,             0.97674,             0.97785,             0.99228,              0.7241,            0.023366,           0.0040675,           0.0003087,             0.00931,             0.00931,             0.00931
                  25,            0.017975,           0.0043207,          0.00032333,             0.98556,             0.96586,             0.99233,             0.72187,            0.023448,           0.0041128,          0.00031313,             0.00928,             0.00928,             0.00928
                  26,            0.017714,           0.0042448,           0.0003272,             0.98506,             0.97374,             0.99302,             0.72584,            0.023564,           0.0041201,          0.00031451,             0.00925,             0.00925,             0.00925
                  27,            0.017363,           0.0041988,          0.00032278,             0.98008,             0.96862,              0.9923,             0.72549,            0.023191,           0.0041199,          0.00030527,             0.00922,             0.00922,             0.00922
                  28,            0.017206,           0.0041208,          0.00033127,             0.98629,             0.97403,              0.9924,             0.72869,            0.023223,           0.0041616,          0.00031533,             0.00919,             0.00919,             0.00919
                  29,            0.016843,           0.0040717,          0.00031924,             0.98147,             0.97775,             0.99303,             0.72678,            0.023564,           0.0041521,          0.00031117,             0.00916,             0.00916,             0.00916
                  30,            0.016301,           0.0040098,          0.00031692,             0.98633,             0.97719,             0.99252,             0.72596,            0.023347,           0.0042391,          0.00031607,             0.00913,             0.00913,             0.00913
                  31,              0.0162,           0.0039455,           0.0003203,             0.97983,             0.97415,             0.99242,             0.72456,            0.023475,           0.0042577,          0.00032226,              0.0091,              0.0091,              0.0091
                  32,            0.016019,           0.0039092,           0.0003133,              0.9859,             0.96862,             0.99189,             0.72252,            0.023507,           0.0042895,          0.00031321,             0.00907,             0.00907,             0.00907
                  33,            0.015634,           0.0038305,           0.0003129,             0.98613,             0.97108,             0.99195,             0.72442,            0.023508,           0.0043514,          0.00032319,             0.00904,             0.00904,             0.00904
                  34,            0.015532,           0.0038029,          0.00031294,             0.98578,               0.968,             0.99197,              0.7319,            0.023329,           0.0043648,          0.00032946,             0.00901,             0.00901,             0.00901
                  35,            0.015215,           0.0037424,          0.00030886,             0.97964,             0.97699,             0.99189,             0.72829,            0.023273,           0.0043697,          0.00033197,             0.00898,             0.00898,             0.00898
                  36,            0.015093,           0.0037146,          0.00030786,             0.98344,             0.96862,             0.99232,             0.73037,             0.02319,           0.0043768,          0.00032734,             0.00895,             0.00895,             0.00895
                  37,             0.01481,           0.0036519,           0.0003062,             0.98392,             0.97046,             0.99189,             0.72767,            0.023369,            0.004433,          0.00033551,             0.00892,             0.00892,             0.00892
                  38,            0.014623,           0.0035863,          0.00030944,             0.98699,             0.96554,             0.99178,             0.73212,            0.023167,            0.004498,          0.00034549,             0.00889,             0.00889,             0.00889
                  39,            0.014525,           0.0035759,          0.00031152,             0.98868,             0.96741,             0.99137,             0.72975,            0.023332,           0.0045333,          0.00034987,             0.00886,             0.00886,             0.00886
                  40,            0.014483,           0.0035464,          0.00031082,             0.98872,             0.97076,             0.99249,             0.73289,            0.023346,           0.0045294,          0.00035212,             0.00883,             0.00883,             0.00883
                  41,            0.014034,           0.0034771,          0.00030378,             0.98379,             0.97105,             0.99204,             0.73355,            0.023214,           0.0045842,          0.00035838,              0.0088,              0.0088,              0.0088
                  42,            0.013942,           0.0034327,          0.00031205,             0.98527,             0.97415,             0.99214,             0.73162,            0.023092,            0.004596,          0.00036062,             0.00877,             0.00877,             0.00877
                  43,             0.01376,           0.0033963,          0.00030841,             0.98627,              0.9726,             0.99209,             0.73092,            0.023142,           0.0046501,          0.00036585,             0.00874,             0.00874,             0.00874
                  44,            0.013607,           0.0033658,          0.00030425,             0.98751,             0.97321,             0.99242,             0.73287,            0.023054,           0.0046797,          0.00036863,             0.00871,             0.00871,             0.00871
                  45,            0.013537,           0.0033438,          0.00030962,             0.98506,             0.97398,              0.9927,              0.7342,            0.023178,           0.0047217,          0.00037518,             0.00868,             0.00868,             0.00868
                  46,             0.01331,             0.00329,           0.0003061,             0.98995,             0.97015,             0.99232,             0.73403,            0.023231,           0.0047449,          0.00037681,             0.00865,             0.00865,             0.00865
                  47,            0.013173,            0.003292,          0.00030571,             0.98992,             0.96703,             0.99221,             0.73372,            0.023175,           0.0047941,          0.00038535,             0.00862,             0.00862,             0.00862
                  48,            0.013233,           0.0032709,           0.0003052,             0.98325,             0.97169,             0.99199,             0.73358,            0.023151,           0.0048237,          0.00038625,             0.00859,             0.00859,             0.00859
                  49,            0.012873,           0.0032068,          0.00030499,             0.98711,             0.97415,             0.99146,             0.73296,            0.023151,           0.0048481,          0.00039019,             0.00856,             0.00856,             0.00856
                  50,            0.012894,           0.0031947,           0.0003048,             0.98356,             0.97477,             0.99145,             0.73301,            0.023148,           0.0049025,          0.00039639,             0.00853,             0.00853,             0.00853
                  51,            0.012662,           0.0031738,          0.00029898,             0.97962,             0.97603,             0.99168,              0.7325,            0.023141,           0.0049453,          0.00039831,              0.0085,              0.0085,              0.0085
                  52,             0.01263,           0.0031337,          0.00030156,             0.97505,             0.97846,             0.99163,             0.73316,            0.023199,           0.0049923,          0.00040672,             0.00847,             0.00847,             0.00847
                  53,            0.012468,           0.0031022,           0.0003018,             0.97659,              0.9756,             0.98959,             0.73276,            0.023208,           0.0050429,          0.00041534,             0.00844,             0.00844,             0.00844
                  54,            0.012389,           0.0030788,          0.00029941,             0.98433,              0.9665,              0.9905,             0.73328,            0.023226,           0.0050867,          0.00042229,             0.00841,             0.00841,             0.00841
                  55,            0.012292,           0.0030574,           0.0002976,             0.98423,             0.96677,             0.99082,             0.73355,            0.023194,           0.0051221,          0.00042733,             0.00838,             0.00838,             0.00838
                  56,            0.012173,           0.0030443,          0.00029599,             0.98016,             0.97302,             0.99073,             0.73438,            0.023159,           0.0051318,          0.00043019,             0.00835,             0.00835,             0.00835
                  57,            0.012167,           0.0030146,          0.00029962,             0.98137,             0.97262,             0.98992,             0.73345,            0.023131,            0.005133,          0.00043143,             0.00832,             0.00832,             0.00832
                  58,             0.01196,            0.002991,          0.00029334,             0.98756,             0.96615,             0.98942,             0.73341,            0.023147,           0.0051487,           0.0004351,             0.00829,             0.00829,             0.00829
                  59,             0.01194,           0.0029976,          0.00029603,             0.98958,             0.96308,             0.99002,             0.73359,            0.023142,           0.0051775,          0.00043775,             0.00826,             0.00826,             0.00826
                  60,            0.011821,           0.0029604,           0.0002944,             0.98801,             0.96369,             0.99016,              0.7325,            0.023165,            0.005212,          0.00044251,             0.00823,             0.00823,             0.00823
                  61,            0.011755,           0.0029594,          0.00029369,             0.99113,             0.96237,             0.99014,             0.73213,            0.023171,           0.0052359,          0.00044747,              0.0082,              0.0082,              0.0082
                  62,             0.01183,            0.002944,          0.00029763,             0.98311,             0.96686,             0.98958,             0.73235,            0.023153,           0.0052453,          0.00044993,             0.00817,             0.00817,             0.00817
                  63,            0.011464,           0.0028835,          0.00029177,             0.98505,             0.96615,             0.98937,             0.73227,            0.023156,           0.0052681,          0.00045391,             0.00814,             0.00814,             0.00814
                  64,             0.01146,           0.0028582,          0.00029346,             0.98765,             0.96492,             0.98848,             0.73146,            0.023159,           0.0052895,          0.00045874,             0.00811,             0.00811,             0.00811
                  65,            0.011288,           0.0028549,          0.00029047,             0.98959,             0.96369,             0.98952,             0.73246,            0.023151,           0.0053103,          0.00046254,             0.00808,             0.00808,             0.00808
