               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065438,            0.018466,            0.016595,             0.29812,             0.43692,              0.2603,             0.08868,             0.04994,            0.013077,           0.0028642,            0.070033,           0.0033297,           0.0033297
                   1,             0.04636,            0.012512,           0.0023851,             0.95471,             0.92106,             0.96455,             0.61943,            0.030386,           0.0063515,           0.0013522,            0.040013,            0.006643,            0.006643
                   2,            0.039918,            0.010002,           0.0015844,             0.96932,             0.94954,             0.97966,              0.6309,            0.030618,           0.0049704,           0.0013606,           0.0099729,           0.0099364,           0.0099364
                   3,            0.034481,           0.0088758,           0.0012569,             0.96975,               0.976,              0.9896,             0.70505,            0.025271,           0.0043175,          0.00099135,             0.00991,             0.00991,             0.00991
                   4,            0.030761,           0.0082188,          0.00095003,             0.96736,             0.96862,             0.98648,             0.71289,            0.026796,            0.004105,          0.00081817,             0.00991,             0.00991,             0.00991
                   5,            0.028795,           0.0078919,          0.00081146,             0.97492,             0.98084,             0.99173,             0.73465,            0.023355,           0.0038837,          0.00070275,             0.00988,             0.00988,             0.00988
                   6,            0.027444,           0.0076436,          0.00071773,             0.97775,             0.97341,             0.99113,             0.73483,            0.024484,           0.0038724,          0.00063706,             0.00985,             0.00985,             0.00985
                   7,            0.026182,           0.0074112,          0.00064927,             0.96914,             0.98092,             0.99188,             0.73944,            0.023835,           0.0038596,          0.00057505,             0.00982,             0.00982,             0.00982
                   8,            0.025308,           0.0072799,          0.00059426,             0.97866,             0.97354,             0.99226,             0.73578,            0.024136,           0.0038736,          0.00059457,             0.00979,             0.00979,             0.00979
                   9,            0.024697,           0.0071638,          0.00056305,             0.97545,             0.97823,             0.99226,             0.73436,            0.023988,           0.0038846,          0.00051863,             0.00976,             0.00976,             0.00976
                  10,            0.023745,           0.0070295,          0.00052853,             0.97114,             0.98338,             0.99187,             0.73845,            0.023631,           0.0037498,          0.00049395,             0.00973,             0.00973,             0.00973
                  11,            0.023062,           0.0068704,          0.00050639,             0.97546,             0.97839,             0.99217,             0.74104,             0.02342,           0.0038369,          0.00048753,              0.0097,              0.0097,              0.0097
                  12,            0.022518,           0.0067745,          0.00047802,             0.97908,             0.97918,             0.99228,             0.73077,            0.023738,           0.0039285,          0.00044774,             0.00967,             0.00967,             0.00967
                  13,            0.021927,           0.0066591,          0.00046048,             0.96532,             0.97538,             0.98978,              0.7288,             0.02439,           0.0039288,          0.00046473,             0.00964,             0.00964,             0.00964
                  14,            0.021563,           0.0065604,           0.0004502,             0.98197,             0.97046,              0.9917,             0.72189,            0.024599,            0.003829,          0.00044229,             0.00961,             0.00961,             0.00961
                  15,            0.021149,           0.0064749,          0.00043728,              0.9749,             0.98154,             0.99215,             0.73275,             0.02375,           0.0038527,          0.00043037,             0.00958,             0.00958,             0.00958
                  16,            0.020826,           0.0063627,          0.00042554,             0.98137,             0.97226,             0.99173,             0.73971,            0.023447,           0.0037497,          0.00042581,             0.00955,             0.00955,             0.00955
                  17,            0.020295,           0.0062462,          0.00041574,             0.97284,             0.97785,             0.99014,             0.71121,            0.025205,           0.0038971,          0.00042456,             0.00952,             0.00952,             0.00952
                  18,            0.019752,            0.006139,          0.00040192,             0.96969,             0.98031,             0.99135,             0.71843,            0.024677,           0.0038751,          0.00040591,             0.00949,             0.00949,             0.00949
                  19,            0.019394,           0.0060477,          0.00039548,             0.97897,             0.97391,             0.99152,             0.72402,            0.024015,           0.0037586,          0.00039549,             0.00946,             0.00946,             0.00946
