               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085656,            0.033497,            0.030812,             0.62068,               0.721,             0.68004,             0.28543,            0.064277,            0.025817,            0.019609,            0.072688,           0.0035146,           0.0035146
                   1,            0.068838,            0.027898,             0.02132,             0.76287,             0.79118,             0.82055,             0.38685,            0.057941,            0.023441,            0.017305,            0.010161,           0.0070089,           0.0070089
                   2,            0.061583,            0.027671,            0.019598,              0.8397,             0.82693,             0.87635,             0.47445,            0.052987,             0.02209,            0.015858,           0.0071525,           0.0071525,           0.0071525
                   3,               0.058,            0.027168,            0.018647,             0.86176,             0.84775,             0.89604,             0.50971,            0.051175,            0.021588,              0.0154,           0.0071525,           0.0071525,           0.0071525
                   4,            0.056209,            0.026631,            0.018181,              0.8713,             0.84615,             0.90655,             0.52614,            0.050182,            0.021233,             0.01495,           0.0071288,           0.0071288,           0.0071288
                   5,            0.055047,            0.026227,            0.017869,             0.88186,             0.86699,             0.91389,             0.54165,            0.049491,            0.020868,            0.014779,           0.0071051,           0.0071051,           0.0071051
                   6,            0.054286,            0.026067,             0.01767,             0.88701,             0.86425,             0.91672,             0.54919,            0.048911,            0.020759,            0.014697,           0.0070813,           0.0070813,           0.0070813
                   7,            0.053579,            0.025761,            0.017488,             0.88274,             0.86814,             0.91477,             0.54994,            0.048617,            0.020792,            0.014563,           0.0070576,           0.0070576,           0.0070576
                   8,            0.053217,            0.025729,            0.017382,             0.88144,             0.87001,             0.91379,             0.54993,            0.048501,             0.02086,            0.014536,           0.0070339,           0.0070339,           0.0070339
                   9,            0.052924,            0.025673,            0.017329,             0.88771,             0.87498,             0.91873,             0.56312,            0.047771,            0.020582,            0.014363,           0.0070101,           0.0070101,           0.0070101
                  10,            0.052421,            0.025395,            0.017161,              0.8936,             0.87839,             0.92306,             0.57139,            0.047368,            0.020333,             0.01425,           0.0069864,           0.0069864,           0.0069864
