               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073753,            0.015496,            0.015591,             0.37607,             0.57229,             0.37587,             0.11533,            0.060431,           0.0090164,          0.00095032,            0.070033,           0.0033297,           0.0033297
                   1,            0.052031,            0.010643,           0.0025422,             0.75885,             0.85521,             0.82084,             0.35976,            0.045128,           0.0060488,           0.0010109,            0.040013,            0.006643,            0.006643
                   2,            0.047388,           0.0094144,           0.0018348,             0.94611,             0.95071,             0.95423,             0.49563,            0.038273,           0.0049745,           0.0011249,           0.0099729,           0.0099364,           0.0099364
                   3,            0.043579,           0.0087127,           0.0012359,             0.93306,             0.94023,             0.96089,              0.5364,            0.038851,           0.0045643,          0.00077246,             0.00991,             0.00991,             0.00991
                   4,            0.041123,           0.0083211,           0.0008615,             0.92674,             0.92746,             0.94998,             0.53439,            0.038676,           0.0044409,          0.00058086,             0.00991,             0.00991,             0.00991
                   5,            0.039881,           0.0081449,          0.00068754,             0.94929,             0.95625,             0.97311,             0.57197,            0.035201,           0.0043786,          0.00053157,             0.00988,             0.00988,             0.00988
                   6,            0.038935,           0.0080479,          0.00058274,             0.94046,             0.94763,             0.96979,             0.56315,            0.035779,           0.0043658,          0.00044578,             0.00985,             0.00985,             0.00985
                   7,            0.038301,            0.007972,          0.00051213,             0.94401,             0.95567,             0.97201,             0.56108,            0.035476,           0.0043887,          0.00039123,             0.00982,             0.00982,             0.00982
                   8,            0.037593,           0.0079249,          0.00045792,             0.95136,             0.95933,             0.97101,             0.54775,            0.035746,           0.0043772,          0.00034694,             0.00979,             0.00979,             0.00979
                   9,            0.037113,           0.0078902,            0.000415,              0.9388,             0.94824,             0.96613,             0.47941,            0.038152,           0.0044806,          0.00035182,             0.00976,             0.00976,             0.00976
                  10,            0.036624,           0.0078584,          0.00039302,             0.93944,             0.94618,             0.96748,             0.54043,            0.036561,           0.0044306,          0.00030978,             0.00973,             0.00973,             0.00973
                  11,            0.036335,           0.0078385,          0.00037459,             0.94969,             0.95366,             0.96801,             0.55824,            0.035874,           0.0043776,          0.00032146,              0.0097,              0.0097,              0.0097
                  12,            0.035905,           0.0078205,          0.00035976,             0.95456,             0.95071,             0.97061,             0.53614,            0.035646,           0.0043743,          0.00031822,             0.00967,             0.00967,             0.00967
                  13,            0.035563,           0.0078111,          0.00033906,             0.93959,             0.94455,             0.96459,             0.51507,            0.036364,             0.00442,          0.00031237,             0.00964,             0.00964,             0.00964
