               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07242,            0.014507,            0.014978,             0.81622,             0.79385,             0.78985,             0.27657,            0.045792,            0.011082,            0.003612,            0.070033,           0.0033297,           0.0033297
                   1,             0.05476,            0.010306,           0.0028692,              0.8549,             0.84482,             0.87505,             0.36241,            0.042621,           0.0075264,           0.0016213,            0.040013,            0.006643,            0.006643
                   2,            0.050039,           0.0086178,           0.0017498,             0.93913,             0.94831,             0.95975,             0.49046,            0.036612,           0.0059755,           0.0010898,           0.0099729,           0.0099364,           0.0099364
                   3,            0.047372,           0.0077362,           0.0013359,             0.93698,             0.93723,             0.96445,             0.50178,            0.037433,           0.0054869,          0.00085296,             0.00991,             0.00991,             0.00991
                   4,             0.04547,           0.0072984,            0.001082,             0.94406,             0.92426,             0.95848,             0.51997,            0.035769,           0.0052596,          0.00068278,             0.00991,             0.00991,             0.00991
                   5,            0.044222,           0.0070556,          0.00093595,             0.94839,             0.93859,             0.96663,             0.53829,            0.036068,           0.0050467,          0.00061035,             0.00988,             0.00988,             0.00988
                   6,            0.043472,           0.0069618,          0.00081956,            0.062063,             0.19262,            0.058436,            0.019479,            0.062527,            0.011993,           0.0013932,             0.00985,             0.00985,             0.00985
                   7,            0.042912,           0.0068254,           0.0007542,             0.93154,             0.91268,             0.94514,              0.4792,            0.038982,            0.005028,          0.00054743,             0.00982,             0.00982,             0.00982
                   8,            0.042182,           0.0067747,          0.00068382,             0.94329,             0.95938,             0.96693,             0.54769,            0.034746,           0.0049713,          0.00049363,             0.00979,             0.00979,             0.00979
                   9,            0.041792,           0.0067146,          0.00064776,             0.93266,             0.93723,             0.96376,             0.56274,            0.034233,           0.0049535,          0.00046664,             0.00976,             0.00976,             0.00976
                  10,             0.04114,           0.0066631,          0.00060287,              0.9535,             0.93377,              0.9663,             0.55971,            0.034692,           0.0048737,          0.00043283,             0.00973,             0.00973,             0.00973
